#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	MMP2	9606.ENSP00000323929	9606.ENSP00000219070	0	0	0	0	0.133	0.632	0.600	0.570	0.937
A2M	LRP1	9606.ENSP00000323929	9606.ENSP00000243077	0	0	0	0	0.174	0.709	0	0.989	0.997
A2M	CMA1	9606.ENSP00000323929	9606.ENSP00000250378	0	0	0	0	0	0.134	0	0.893	0.903
A2M	KLKB1	9606.ENSP00000323929	9606.ENSP00000264690	0	0	0	0	0.111	0.134	0.600	0.933	0.976
A2M	IL10	9606.ENSP00000323929	9606.ENSP00000412237	0	0	0	0	0	0.632	0	0.841	0.939
A2M	ELANE	9606.ENSP00000323929	9606.ENSP00000466090	0	0	0	0	0.053	0.134	0	0.963	0.967
ACAN	MMP2	9606.ENSP00000387356	9606.ENSP00000219070	0	0	0	0	0.062	0.228	0.900	0.597	0.967
ACAN	MMP7	9606.ENSP00000387356	9606.ENSP00000260227	0	0	0	0	0.062	0.060	0.900	0.633	0.963
ACAN	MMP13	9606.ENSP00000387356	9606.ENSP00000260302	0	0	0	0	0	0.060	0.900	0.883	0.988
ACAN	ADAMTS5	9606.ENSP00000387356	9606.ENSP00000284987	0	0	0	0	0	0.213	0.900	0.899	0.991
ACAN	MMP3	9606.ENSP00000387356	9606.ENSP00000299855	0	0	0	0	0	0.228	0.900	0.835	0.986
ACAN	MMP1	9606.ENSP00000387356	9606.ENSP00000322788	0	0	0	0	0	0.228	0.900	0.697	0.974
ACAN	MMP9	9606.ENSP00000387356	9606.ENSP00000361405	0	0	0	0	0	0.060	0.900	0.664	0.965
ACAN	MMP12	9606.ENSP00000387356	9606.ENSP00000458585	0	0	0	0	0	0.060	0.900	0.418	0.940
ADAMTS5	MMP13	9606.ENSP00000284987	9606.ENSP00000260302	0	0	0	0	0	0.233	0	0.883	0.906
ADAMTS5	THBS1	9606.ENSP00000284987	9606.ENSP00000260356	0	0	0	0.543	0.086	0.074	0.900	0.391	0.923
ADAMTS5	TIMP3	9606.ENSP00000284987	9606.ENSP00000266085	0	0	0	0	0.127	0.270	0	0.859	0.902
ADAMTS5	THBS2	9606.ENSP00000284987	9606.ENSP00000355751	0	0	0	0.541	0.157	0.074	0.900	0.322	0.926
ADAMTS5	BCAN	9606.ENSP00000284987	9606.ENSP00000331210	0	0	0	0	0	0	0.900	0.572	0.955
ADAMTS5	ACAN	9606.ENSP00000284987	9606.ENSP00000387356	0	0	0	0	0	0.213	0.900	0.899	0.991
ADI1	MMP14	9606.ENSP00000333666	9606.ENSP00000308208	0	0	0	0	0.062	0.270	0	0.922	0.942
AMELX	MMP20	9606.ENSP00000370088	9606.ENSP00000260228	0	0	0	0	0	0	0	0.928	0.928
ANGPT1	MMP2	9606.ENSP00000428340	9606.ENSP00000219070	0	0	0	0	0.085	0.070	0.900	0.504	0.952
ANGPT1	PLG	9606.ENSP00000428340	9606.ENSP00000308938	0	0	0	0	0.064	0.105	0.900	0.489	0.951
ANGPT1	TEK	9606.ENSP00000428340	9606.ENSP00000369375	0	0	0	0	0.076	0.887	0.900	0.995	0.999
ANGPT1	VEGFA	9606.ENSP00000428340	9606.ENSP00000478570	0	0	0	0	0	0.058	0	0.949	0.951
BCAN	MMP2	9606.ENSP00000331210	9606.ENSP00000219070	0	0	0	0	0	0.270	0.900	0.258	0.941
BCAN	MMP8	9606.ENSP00000331210	9606.ENSP00000236826	0	0	0	0	0	0.270	0.900	0.146	0.932
BCAN	MMP7	9606.ENSP00000331210	9606.ENSP00000260227	0	0	0	0	0	0.270	0.900	0.232	0.939
BCAN	MMP13	9606.ENSP00000331210	9606.ENSP00000260302	0	0	0	0	0	0.270	0.900	0.170	0.934
BCAN	MMP10	9606.ENSP00000331210	9606.ENSP00000279441	0	0	0	0	0	0.270	0.900	0.063	0.925
BCAN	ADAMTS5	9606.ENSP00000331210	9606.ENSP00000284987	0	0	0	0	0	0	0.900	0.572	0.955
BCAN	MMP3	9606.ENSP00000331210	9606.ENSP00000299855	0	0	0	0	0	0.270	0.900	0.291	0.943
BCAN	SDC2	9606.ENSP00000331210	9606.ENSP00000307046	0	0	0	0	0	0	0.900	0.285	0.925
BCAN	MMP19	9606.ENSP00000331210	9606.ENSP00000313437	0	0	0	0	0	0	0.900	0.083	0.904
BCAN	MMP1	9606.ENSP00000331210	9606.ENSP00000322788	0	0	0	0	0	0.270	0.900	0.123	0.930
BCAN	SDC4	9606.ENSP00000331210	9606.ENSP00000361818	0	0	0	0	0	0	0.900	0.324	0.929
BCAN	SDC1	9606.ENSP00000331210	9606.ENSP00000370542	0	0	0	0	0	0	0.900	0.320	0.929
BCAN	HSPG2	9606.ENSP00000331210	9606.ENSP00000363827	0	0	0	0	0	0	0.900	0.542	0.952
BCAR1	HGF	9606.ENSP00000391669	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.324	0.929
BCAR1	IGF1	9606.ENSP00000391669	9606.ENSP00000302665	0	0	0	0	0	0	0.900	0.261	0.922
BCAR1	MMP14	9606.ENSP00000391669	9606.ENSP00000308208	0	0	0	0	0.098	0.270	0	0.970	0.979
BCAR1	SRC	9606.ENSP00000391669	9606.ENSP00000362680	0	0	0	0	0.086	0.908	0.900	0.990	0.999
BCAR1	SPP1	9606.ENSP00000391669	9606.ENSP00000378517	0	0	0	0	0	0	0.900	0.209	0.917
BCAR1	PRKCA	9606.ENSP00000391669	9606.ENSP00000408695	0	0	0	0	0	0	0.900	0.352	0.932
BCAR1	VEGFA	9606.ENSP00000391669	9606.ENSP00000478570	0	0	0	0	0.076	0	0.900	0.391	0.938
BDNF	MMP7	9606.ENSP00000414303	9606.ENSP00000260227	0	0	0	0	0	0	0.900	0.257	0.922
BDNF	STAT3	9606.ENSP00000414303	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.535	0.951
BDNF	MMP3	9606.ENSP00000414303	9606.ENSP00000299855	0	0	0	0	0	0	0.900	0.351	0.932
BDNF	IGF1	9606.ENSP00000414303	9606.ENSP00000302665	0	0	0	0	0	0	0	0.904	0.904
BDNF	CTNNA1	9606.ENSP00000414303	9606.ENSP00000304669	0	0	0	0	0.064	0	0.900	0.075	0.905
BDNF	PLG	9606.ENSP00000414303	9606.ENSP00000308938	0	0	0	0	0	0.078	0.900	0.660	0.965
BDNF	CTNNB1	9606.ENSP00000414303	9606.ENSP00000344456	0	0	0	0	0	0.051	0.900	0.674	0.966
BDNF	NGF	9606.ENSP00000414303	9606.ENSP00000358525	0	0	0	0.841	0.100	0	0.900	0.958	0.920
BDNF	CTNND1	9606.ENSP00000414303	9606.ENSP00000382004	0	0	0	0	0	0	0.900	0.106	0.906
BSG	MMP1	9606.ENSP00000333769	9606.ENSP00000322788	0	0	0	0	0	0.270	0.800	0.802	0.968
BSG	CD44	9606.ENSP00000333769	9606.ENSP00000398632	0	0	0	0	0	0.270	0	0.983	0.988
BSG	SDC1	9606.ENSP00000333769	9606.ENSP00000370542	0	0	0	0	0.059	0	0.900	0.910	0.990
BSG	CAV1	9606.ENSP00000333769	9606.ENSP00000339191	0	0	0	0	0	0.213	0.800	0.974	0.995
CAV1	TGFB1	9606.ENSP00000339191	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.357	0.933
CAV1	CDH1	9606.ENSP00000339191	9606.ENSP00000261769	0	0	0	0	0	0.346	0	0.855	0.901
CAV1	MMP14	9606.ENSP00000339191	9606.ENSP00000308208	0	0	0	0	0.214	0.270	0	0.921	0.951
CAV1	BSG	9606.ENSP00000339191	9606.ENSP00000333769	0	0	0	0	0	0.213	0.800	0.974	0.995
CAV1	HSP90AA1	9606.ENSP00000339191	9606.ENSP00000335153	0	0	0	0	0	0.270	0.900	0.863	0.989
CAV1	PRKCA	9606.ENSP00000339191	9606.ENSP00000408695	0	0	0	0	0.048	0	0	0.902	0.903
CAV1	IGFBP3	9606.ENSP00000339191	9606.ENSP00000370473	0	0	0	0	0.300	0.213	0	0.912	0.947
CAV1	CTNNB1	9606.ENSP00000339191	9606.ENSP00000344456	0	0	0	0	0	0.638	0	0.937	0.976
CAV1	SRC	9606.ENSP00000339191	9606.ENSP00000362680	0	0	0	0	0	0.737	0.900	0.988	0.999
CBFB	TGFB1	9606.ENSP00000415151	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.058	0.901
CBFB	MMP13	9606.ENSP00000415151	9606.ENSP00000260302	0	0	0	0	0.062	0	0.900	0.070	0.905
CBFB	THBS1	9606.ENSP00000415151	9606.ENSP00000260356	0	0	0	0	0	0	0.900	0	0.900
CBFB	RUNX2	9606.ENSP00000415151	9606.ENSP00000360493	0	0	0	0	0.058	0.989	0.800	0.808	0.999
CBFB	SPP1	9606.ENSP00000415151	9606.ENSP00000378517	0	0	0	0	0.062	0	0.900	0.124	0.910
CD44	TIMP1	9606.ENSP00000398632	9606.ENSP00000218388	0	0	0	0	0.158	0	0	0.952	0.958
CD44	HGF	9606.ENSP00000398632	9606.ENSP00000222390	0	0	0	0	0.072	0.305	0	0.959	0.971
CD44	HBEGF	9606.ENSP00000398632	9606.ENSP00000230990	0	0	0	0	0.074	0.270	0	0.930	0.948
CD44	MMP7	9606.ENSP00000398632	9606.ENSP00000260227	0	0	0	0	0.065	0.270	0.600	0.919	0.975
CD44	NID1	9606.ENSP00000398632	9606.ENSP00000264187	0	0	0	0	0	0	0	0.906	0.906
CD44	FGF2	9606.ENSP00000398632	9606.ENSP00000264498	0	0	0	0	0.062	0.480	0	0.988	0.994
CD44	STAT3	9606.ENSP00000398632	9606.ENSP00000264657	0	0	0	0	0.071	0.270	0	0.984	0.989
CD44	MMP14	9606.ENSP00000398632	9606.ENSP00000308208	0	0	0	0	0.111	0	0	0.988	0.989
CD44	BSG	9606.ENSP00000398632	9606.ENSP00000333769	0	0	0	0	0	0.270	0	0.983	0.988
CD44	MMP9	9606.ENSP00000398632	9606.ENSP00000361405	0	0	0	0	0	0.213	0.600	0.989	0.996
CD44	SRC	9606.ENSP00000398632	9606.ENSP00000362680	0	0	0	0	0	0.681	0	0.957	0.985
CD44	SPP1	9606.ENSP00000398632	9606.ENSP00000378517	0	0	0	0	0.062	0.627	0.800	0.989	0.999
CD44	RDX	9606.ENSP00000398632	9606.ENSP00000384136	0	0	0	0	0.066	0.402	0	0.983	0.990
CDH1	HGF	9606.ENSP00000261769	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.689	0.967
CDH1	LAMB1	9606.ENSP00000261769	9606.ENSP00000222399	0	0	0	0	0	0	0.900	0.260	0.922
CDH1	MMP7	9606.ENSP00000261769	9606.ENSP00000260227	0	0	0	0	0.062	0.058	0.900	0.734	0.973
CDH1	CAV1	9606.ENSP00000261769	9606.ENSP00000339191	0	0	0	0	0	0.346	0	0.855	0.901
CDH1	LAMC2	9606.ENSP00000261769	9606.ENSP00000264144	0	0	0	0	0.108	0	0.900	0.336	0.935
CDH1	IGF2	9606.ENSP00000261769	9606.ENSP00000391826	0	0	0	0	0	0	0.900	0.464	0.944
CDH1	IGF1	9606.ENSP00000261769	9606.ENSP00000302665	0	0	0	0	0	0	0.900	0.561	0.954
CDH1	PLG	9606.ENSP00000261769	9606.ENSP00000308938	0	0	0	0	0	0	0.900	0.561	0.954
CDH1	MMP3	9606.ENSP00000261769	9606.ENSP00000299855	0	0	0	0	0	0.058	0.900	0.658	0.965
CDH1	MMP9	9606.ENSP00000261769	9606.ENSP00000361405	0	0	0	0	0	0.058	0.900	0.835	0.983
CDH1	CTNNA1	9606.ENSP00000261769	9606.ENSP00000304669	0	0	0	0	0.062	0.885	0.900	0.983	0.999
CDH1	CTNNB1	9606.ENSP00000261769	9606.ENSP00000344456	0	0	0	0	0.062	0.999	0.900	0.990	0.999
CDH1	CTNND1	9606.ENSP00000261769	9606.ENSP00000382004	0	0	0	0	0.096	0.928	0.900	0.989	0.999
CDH1	JUP	9606.ENSP00000261769	9606.ENSP00000377508	0	0	0	0	0.105	0.975	0.900	0.857	0.999
CDH1	SRC	9606.ENSP00000261769	9606.ENSP00000362680	0	0	0	0	0.049	0.816	0.900	0.958	0.999
CDK13	MMP21	9606.ENSP00000181839	9606.ENSP00000357798	0	0	0	0	0	0	0	0.900	0.900
CMA1	KITLG	9606.ENSP00000250378	9606.ENSP00000228280	0	0	0	0	0	0.213	0.900	0.672	0.971
CMA1	A2M	9606.ENSP00000250378	9606.ENSP00000323929	0	0	0	0	0	0.134	0	0.893	0.903
CMA1	MMP1	9606.ENSP00000250378	9606.ENSP00000322788	0	0	0	0	0	0.213	0.900	0.303	0.940
COL12A1	MMP12	9606.ENSP00000325146	9606.ENSP00000458585	0	0	0	0	0.065	0.059	0.900	0.277	0.927
COL14A1	MMP13	9606.ENSP00000297848	9606.ENSP00000260302	0	0	0	0	0	0.059	0.900	0.260	0.924
